"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",-0.2111,1961," Jan Average"," Turkey"," TUR"
"2",0.68268,1961," Feb Average"," Turkey"," TUR"
"3",3.8435,1961," Mar Average"," Turkey"," TUR"
"4",11.375,1961," Apr Average"," Turkey"," TUR"
"5",15.7494,1961," May Average"," Turkey"," TUR"
"6",19.3112,1961," Jun Average"," Turkey"," TUR"
"7",22.2543,1961," Jul Average"," Turkey"," TUR"
"8",22.6252,1961," Aug Average"," Turkey"," TUR"
"9",16.4529,1961," Sep Average"," Turkey"," TUR"
"10",12.8295,1961," Oct Average"," Turkey"," TUR"
"11",7.85234,1961," Nov Average"," Turkey"," TUR"
"12",3.56542,1961," Dec Average"," Turkey"," TUR"
"13",0.63465,1962," Jan Average"," Turkey"," TUR"
"14",1.18635,1962," Feb Average"," Turkey"," TUR"
"15",7.25655,1962," Mar Average"," Turkey"," TUR"
"16",9.933,1962," Apr Average"," Turkey"," TUR"
"17",15.8503,1962," May Average"," Turkey"," TUR"
"18",19.5161,1962," Jun Average"," Turkey"," TUR"
"19",23.1968,1962," Jul Average"," Turkey"," TUR"
"20",23.5722,1962," Aug Average"," Turkey"," TUR"
"21",19.079,1962," Sep Average"," Turkey"," TUR"
"22",13.6884,1962," Oct Average"," Turkey"," TUR"
"23",10.3662,1962," Nov Average"," Turkey"," TUR"
"24",4.16067,1962," Dec Average"," Turkey"," TUR"
"25",2.27996,1963," Jan Average"," Turkey"," TUR"
"26",3.82445,1963," Feb Average"," Turkey"," TUR"
"27",3.08915,1963," Mar Average"," Turkey"," TUR"
"28",9.45204,1963," Apr Average"," Turkey"," TUR"
"29",13.2129,1963," May Average"," Turkey"," TUR"
"30",18.3717,1963," Jun Average"," Turkey"," TUR"
"31",22.0742,1963," Jul Average"," Turkey"," TUR"
"32",22.7057,1963," Aug Average"," Turkey"," TUR"
"33",18.974,1963," Sep Average"," Turkey"," TUR"
"34",13.7477,1963," Oct Average"," Turkey"," TUR"
"35",7.88031,1963," Nov Average"," Turkey"," TUR"
"36",2.16599,1963," Dec Average"," Turkey"," TUR"
"37",-4.7107,1964," Jan Average"," Turkey"," TUR"
"38",-0.2189,1964," Feb Average"," Turkey"," TUR"
"39",5.43583,1964," Mar Average"," Turkey"," TUR"
"40",9.28653,1964," Apr Average"," Turkey"," TUR"
"41",13.6143,1964," May Average"," Turkey"," TUR"
"42",18.8062,1964," Jun Average"," Turkey"," TUR"
"43",21.8295,1964," Jul Average"," Turkey"," TUR"
"44",20.8528,1964," Aug Average"," Turkey"," TUR"
"45",17.6309,1964," Sep Average"," Turkey"," TUR"
"46",13.4138,1964," Oct Average"," Turkey"," TUR"
"47",7.24857,1964," Nov Average"," Turkey"," TUR"
"48",2.44219,1964," Dec Average"," Turkey"," TUR"
"49",-0.2957,1965," Jan Average"," Turkey"," TUR"
"50",-0.1912,1965," Feb Average"," Turkey"," TUR"
"51",5.41739,1965," Mar Average"," Turkey"," TUR"
"52",8.73708,1965," Apr Average"," Turkey"," TUR"
"53",14.1036,1965," May Average"," Turkey"," TUR"
"54",19.4262,1965," Jun Average"," Turkey"," TUR"
"55",21.9785,1965," Jul Average"," Turkey"," TUR"
"56",22.1756,1965," Aug Average"," Turkey"," TUR"
"57",18.8138,1965," Sep Average"," Turkey"," TUR"
"58",10.0318,1965," Oct Average"," Turkey"," TUR"
"59",6.69832,1965," Nov Average"," Turkey"," TUR"
"60",3.40797,1965," Dec Average"," Turkey"," TUR"
"61",3.03027,1966," Jan Average"," Turkey"," TUR"
"62",4.91729,1966," Feb Average"," Turkey"," TUR"
"63",5.82666,1966," Mar Average"," Turkey"," TUR"
"64",11.3187,1966," Apr Average"," Turkey"," TUR"
"65",14.3134,1966," May Average"," Turkey"," TUR"
"66",18.977,1966," Jun Average"," Turkey"," TUR"
"67",22.706,1966," Jul Average"," Turkey"," TUR"
"68",23.2419,1966," Aug Average"," Turkey"," TUR"
"69",17.9913,1966," Sep Average"," Turkey"," TUR"
"70",14.8179,1966," Oct Average"," Turkey"," TUR"
"71",10.5341,1966," Nov Average"," Turkey"," TUR"
"72",3.48513,1966," Dec Average"," Turkey"," TUR"
"73",-0.7378,1967," Jan Average"," Turkey"," TUR"
"74",-2.6269,1967," Feb Average"," Turkey"," TUR"
"75",3.15625,1967," Mar Average"," Turkey"," TUR"
"76",8.89537,1967," Apr Average"," Turkey"," TUR"
"77",14.3034,1967," May Average"," Turkey"," TUR"
"78",17.2789,1967," Jun Average"," Turkey"," TUR"
"79",21.0986,1967," Jul Average"," Turkey"," TUR"
"80",21.9579,1967," Aug Average"," Turkey"," TUR"
"81",17.7006,1967," Sep Average"," Turkey"," TUR"
"82",13.0309,1967," Oct Average"," Turkey"," TUR"
"83",6.2383,1967," Nov Average"," Turkey"," TUR"
"84",2.66542,1967," Dec Average"," Turkey"," TUR"
"85",-1.6188,1968," Jan Average"," Turkey"," TUR"
"86",0.34749,1968," Feb Average"," Turkey"," TUR"
"87",4.05746,1968," Mar Average"," Turkey"," TUR"
"88",11.9588,1968," Apr Average"," Turkey"," TUR"
"89",16.6144,1968," May Average"," Turkey"," TUR"
"90",17.98,1968," Jun Average"," Turkey"," TUR"
"91",22.2737,1968," Jul Average"," Turkey"," TUR"
"92",20.523,1968," Aug Average"," Turkey"," TUR"
"93",17.9226,1968," Sep Average"," Turkey"," TUR"
"94",12.8965,1968," Oct Average"," Turkey"," TUR"
"95",8.08516,1968," Nov Average"," Turkey"," TUR"
"96",3.00598,1968," Dec Average"," Turkey"," TUR"
"97",-0.586,1969," Jan Average"," Turkey"," TUR"
"98",0.75368,1969," Feb Average"," Turkey"," TUR"
"99",5.51361,1969," Mar Average"," Turkey"," TUR"
"100",8.04423,1969," Apr Average"," Turkey"," TUR"
"101",15.6102,1969," May Average"," Turkey"," TUR"
"102",19.7879,1969," Jun Average"," Turkey"," TUR"
"103",20.5082,1969," Jul Average"," Turkey"," TUR"
"104",22.3275,1969," Aug Average"," Turkey"," TUR"
"105",18.6791,1969," Sep Average"," Turkey"," TUR"
"106",12.4015,1969," Oct Average"," Turkey"," TUR"
"107",6.86428,1969," Nov Average"," Turkey"," TUR"
"108",4.02845,1969," Dec Average"," Turkey"," TUR"
"109",2.31142,1970," Jan Average"," Turkey"," TUR"
"110",3.80804,1970," Feb Average"," Turkey"," TUR"
"111",6.89026,1970," Mar Average"," Turkey"," TUR"
"112",12.6241,1970," Apr Average"," Turkey"," TUR"
"113",14.5272,1970," May Average"," Turkey"," TUR"
"114",19.1472,1970," Jun Average"," Turkey"," TUR"
"115",22.5053,1970," Jul Average"," Turkey"," TUR"
"116",21.6846,1970," Aug Average"," Turkey"," TUR"
"117",17.8684,1970," Sep Average"," Turkey"," TUR"
"118",11.5455,1970," Oct Average"," Turkey"," TUR"
"119",8.34736,1970," Nov Average"," Turkey"," TUR"
"120",0.77585,1970," Dec Average"," Turkey"," TUR"
"121",1.92621,1971," Jan Average"," Turkey"," TUR"
"122",1.14237,1971," Feb Average"," Turkey"," TUR"
"123",5.82345,1971," Mar Average"," Turkey"," TUR"
"124",9.3102,1971," Apr Average"," Turkey"," TUR"
"125",15.3787,1971," May Average"," Turkey"," TUR"
"126",18.4792,1971," Jun Average"," Turkey"," TUR"
"127",21.9555,1971," Jul Average"," Turkey"," TUR"
"128",21.4121,1971," Aug Average"," Turkey"," TUR"
"129",19.1146,1971," Sep Average"," Turkey"," TUR"
"130",11.071,1971," Oct Average"," Turkey"," TUR"
"131",7.15916,1971," Nov Average"," Turkey"," TUR"
"132",0.37232,1971," Dec Average"," Turkey"," TUR"
"133",-4.6093,1972," Jan Average"," Turkey"," TUR"
"134",-2.4071,1972," Feb Average"," Turkey"," TUR"
"135",4.36442,1972," Mar Average"," Turkey"," TUR"
"136",11.8139,1972," Apr Average"," Turkey"," TUR"
"137",14.1084,1972," May Average"," Turkey"," TUR"
"138",18.5533,1972," Jun Average"," Turkey"," TUR"
"139",22.0042,1972," Jul Average"," Turkey"," TUR"
"140",21.828,1972," Aug Average"," Turkey"," TUR"
"141",18.5792,1972," Sep Average"," Turkey"," TUR"
"142",13.549,1972," Oct Average"," Turkey"," TUR"
"143",5.75757,1972," Nov Average"," Turkey"," TUR"
"144",-0.3062,1972," Dec Average"," Turkey"," TUR"
"145",-2.0344,1973," Jan Average"," Turkey"," TUR"
"146",3.15162,1973," Feb Average"," Turkey"," TUR"
"147",4.11623,1973," Mar Average"," Turkey"," TUR"
"148",9.48861,1973," Apr Average"," Turkey"," TUR"
"149",15.2388,1973," May Average"," Turkey"," TUR"
"150",17.7929,1973," Jun Average"," Turkey"," TUR"
"151",21.9649,1973," Jul Average"," Turkey"," TUR"
"152",21.68,1973," Aug Average"," Turkey"," TUR"
"153",18.9886,1973," Sep Average"," Turkey"," TUR"
"154",13.6442,1973," Oct Average"," Turkey"," TUR"
"155",4.16294,1973," Nov Average"," Turkey"," TUR"
"156",1.08587,1973," Dec Average"," Turkey"," TUR"
"157",-3.4559,1974," Jan Average"," Turkey"," TUR"
"158",0.28765,1974," Feb Average"," Turkey"," TUR"
"159",6.06047,1974," Mar Average"," Turkey"," TUR"
"160",8.42657,1974," Apr Average"," Turkey"," TUR"
"161",14.8874,1974," May Average"," Turkey"," TUR"
"162",19.6311,1974," Jun Average"," Turkey"," TUR"
"163",21.6916,1974," Jul Average"," Turkey"," TUR"
"164",21.007,1974," Aug Average"," Turkey"," TUR"
"165",17.1213,1974," Sep Average"," Turkey"," TUR"
"166",15.7384,1974," Oct Average"," Turkey"," TUR"
"167",7.25401,1974," Nov Average"," Turkey"," TUR"
"168",1.40582,1974," Dec Average"," Turkey"," TUR"
"169",-0.9848,1975," Jan Average"," Turkey"," TUR"
"170",-0.0943,1975," Feb Average"," Turkey"," TUR"
"171",5.96919,1975," Mar Average"," Turkey"," TUR"
"172",12.0588,1975," Apr Average"," Turkey"," TUR"
"173",14.2933,1975," May Average"," Turkey"," TUR"
"174",19.125,1975," Jun Average"," Turkey"," TUR"
"175",22.6649,1975," Jul Average"," Turkey"," TUR"
"176",21.6129,1975," Aug Average"," Turkey"," TUR"
"177",18.3603,1975," Sep Average"," Turkey"," TUR"
"178",12.1064,1975," Oct Average"," Turkey"," TUR"
"179",6.00341,1975," Nov Average"," Turkey"," TUR"
"180",-0.7905,1975," Dec Average"," Turkey"," TUR"
"181",-1.2908,1976," Jan Average"," Turkey"," TUR"
"182",-2.6256,1976," Feb Average"," Turkey"," TUR"
"183",3.64447,1976," Mar Average"," Turkey"," TUR"
"184",9.59135,1976," Apr Average"," Turkey"," TUR"
"185",13.8766,1976," May Average"," Turkey"," TUR"
"186",17.955,1976," Jun Average"," Turkey"," TUR"
"187",20.5993,1976," Jul Average"," Turkey"," TUR"
