"Temp","Year","Stat","Name","Code"
20.7042,1961,"Jan Average","Argentina","ARG"
19.7737,1961,"Feb Average","Argentina","ARG"
17.215,1961,"Mar Average","Argentina","ARG"
13.5003,1961,"Apr Average","Argentina","ARG"
11.765,1961,"May Average","Argentina","ARG"
6.99971,1961,"Jun Average","Argentina","ARG"
7.16663,1961,"Jul Average","Argentina","ARG"
10.8264,1961,"Aug Average","Argentina","ARG"
11.1181,1961,"Sep Average","Argentina","ARG"
15.3819,1961,"Oct Average","Argentina","ARG"
18.0364,1961,"Nov Average","Argentina","ARG"
20.0391,1961,"Dec Average","Argentina","ARG"
20.3371,1962,"Jan Average","Argentina","ARG"
20.0239,1962,"Feb Average","Argentina","ARG"
19.3137,1962,"Mar Average","Argentina","ARG"
13.2885,1962,"Apr Average","Argentina","ARG"
10.0951,1962,"May Average","Argentina","ARG"
7.5613,1962,"Jun Average","Argentina","ARG"
5.29234,1962,"Jul Average","Argentina","ARG"
9.07034,1962,"Aug Average","Argentina","ARG"
12.2039,1962,"Sep Average","Argentina","ARG"
14.7818,1962,"Oct Average","Argentina","ARG"
19.1887,1962,"Nov Average","Argentina","ARG"
20.6562,1962,"Dec Average","Argentina","ARG"
20.6802,1963,"Jan Average","Argentina","ARG"
20.6363,1963,"Feb Average","Argentina","ARG"
17.1093,1963,"Mar Average","Argentina","ARG"
15.2468,1963,"Apr Average","Argentina","ARG"
10.8169,1963,"May Average","Argentina","ARG"
8.27449,1963,"Jun Average","Argentina","ARG"
8.97156,1963,"Jul Average","Argentina","ARG"
9.14889,1963,"Aug Average","Argentina","ARG"
10.4365,1963,"Sep Average","Argentina","ARG"
13.9005,1963,"Oct Average","Argentina","ARG"
15.4949,1963,"Nov Average","Argentina","ARG"
19.5187,1963,"Dec Average","Argentina","ARG"
21.1687,1964,"Jan Average","Argentina","ARG"
19.7732,1964,"Feb Average","Argentina","ARG"
16.3033,1964,"Mar Average","Argentina","ARG"
13.9023,1964,"Apr Average","Argentina","ARG"
11.5785,1964,"May Average","Argentina","ARG"
5.9939,1964,"Jun Average","Argentina","ARG"
6.81106,1964,"Jul Average","Argentina","ARG"
8.75512,1964,"Aug Average","Argentina","ARG"
11.5062,1964,"Sep Average","Argentina","ARG"
14.0225,1964,"Oct Average","Argentina","ARG"
17.0261,1964,"Nov Average","Argentina","ARG"
18.9554,1964,"Dec Average","Argentina","ARG"
21.0101,1965,"Jan Average","Argentina","ARG"
20.476,1965,"Feb Average","Argentina","ARG"
17.3695,1965,"Mar Average","Argentina","ARG"
13.6057,1965,"Apr Average","Argentina","ARG"
9.67444,1965,"May Average","Argentina","ARG"
10.9129,1965,"Jun Average","Argentina","ARG"
6.55712,1965,"Jul Average","Argentina","ARG"
9.49101,1965,"Aug Average","Argentina","ARG"
10.9915,1965,"Sep Average","Argentina","ARG"
15.3214,1965,"Oct Average","Argentina","ARG"
18.0332,1965,"Nov Average","Argentina","ARG"
18.3459,1965,"Dec Average","Argentina","ARG"
20.8833,1966,"Jan Average","Argentina","ARG"
18.1628,1966,"Feb Average","Argentina","ARG"
17.6786,1966,"Mar Average","Argentina","ARG"
14.6293,1966,"Apr Average","Argentina","ARG"
11.6764,1966,"May Average","Argentina","ARG"
9.0382,1966,"Jun Average","Argentina","ARG"
7.46078,1966,"Jul Average","Argentina","ARG"
8.20904,1966,"Aug Average","Argentina","ARG"
10.8776,1966,"Sep Average","Argentina","ARG"
14.2234,1966,"Oct Average","Argentina","ARG"
18.0384,1966,"Nov Average","Argentina","ARG"
18.5777,1966,"Dec Average","Argentina","ARG"
20.5268,1967,"Jan Average","Argentina","ARG"
20.1023,1967,"Feb Average","Argentina","ARG"
17.236,1967,"Mar Average","Argentina","ARG"
15.3163,1967,"Apr Average","Argentina","ARG"
13.0441,1967,"May Average","Argentina","ARG"
5.12281,1967,"Jun Average","Argentina","ARG"
7.41249,1967,"Jul Average","Argentina","ARG"
8.88183,1967,"Aug Average","Argentina","ARG"
11.7079,1967,"Sep Average","Argentina","ARG"
14.9026,1967,"Oct Average","Argentina","ARG"
17.8801,1967,"Nov Average","Argentina","ARG"
21.2288,1967,"Dec Average","Argentina","ARG"
20.8856,1968,"Jan Average","Argentina","ARG"
20.2312,1968,"Feb Average","Argentina","ARG"
17.1367,1968,"Mar Average","Argentina","ARG"
13.014,1968,"Apr Average","Argentina","ARG"
10.5314,1968,"May Average","Argentina","ARG"
8.4333,1968,"Jun Average","Argentina","ARG"
9.64304,1968,"Jul Average","Argentina","ARG"
10.2582,1968,"Aug Average","Argentina","ARG"
11.8512,1968,"Sep Average","Argentina","ARG"
14.1045,1968,"Oct Average","Argentina","ARG"
19.3837,1968,"Nov Average","Argentina","ARG"
19.4126,1968,"Dec Average","Argentina","ARG"
21.3047,1969,"Jan Average","Argentina","ARG"
20.1694,1969,"Feb Average","Argentina","ARG"
17.8419,1969,"Mar Average","Argentina","ARG"
14.9286,1969,"Apr Average","Argentina","ARG"
11.6016,1969,"May Average","Argentina","ARG"
7.95943,1969,"Jun Average","Argentina","ARG"
8.39951,1969,"Jul Average","Argentina","ARG"
8.39196,1969,"Aug Average","Argentina","ARG"
12.6308,1969,"Sep Average","Argentina","ARG"
14.0326,1969,"Oct Average","Argentina","ARG"
17.7988,1969,"Nov Average","Argentina","ARG"
20.9419,1969,"Dec Average","Argentina","ARG"
20.3499,1970,"Jan Average","Argentina","ARG"
21.0143,1970,"Feb Average","Argentina","ARG"
18.0016,1970,"Mar Average","Argentina","ARG"
16.3191,1970,"Apr Average","Argentina","ARG"
10.7474,1970,"May Average","Argentina","ARG"
7.59018,1970,"Jun Average","Argentina","ARG"
7.90637,1970,"Jul Average","Argentina","ARG"
8.79701,1970,"Aug Average","Argentina","ARG"
13.3992,1970,"Sep Average","Argentina","ARG"
14.4251,1970,"Oct Average","Argentina","ARG"
16.9137,1970,"Nov Average","Argentina","ARG"
19.7097,1970,"Dec Average","Argentina","ARG"
19.1833,1971,"Jan Average","Argentina","ARG"
18.6993,1971,"Feb Average","Argentina","ARG"
17.336,1971,"Mar Average","Argentina","ARG"
12.3233,1971,"Apr Average","Argentina","ARG"
9.46797,1971,"May Average","Argentina","ARG"
5.48508,1971,"Jun Average","Argentina","ARG"
8.82503,1971,"Jul Average","Argentina","ARG"
9.59823,1971,"Aug Average","Argentina","ARG"
13.2943,1971,"Sep Average","Argentina","ARG"
14.9286,1971,"Oct Average","Argentina","ARG"
18.7344,1971,"Nov Average","Argentina","ARG"
20.3604,1971,"Dec Average","Argentina","ARG"
21.5622,1972,"Jan Average","Argentina","ARG"
20.3491,1972,"Feb Average","Argentina","ARG"
